,names
0,latitude
1,longitude
2,minimum_nights
3,number_of_reviews
4,calculated_host_listings_count
5,availability_365
6,Bedford-Stuyvesant
7,Long Island City
8,Private room
9,Dist from Central Park
10,Dist from National 9/11 Memorial and Museum
11,Dist from Empire State Building
12,Dist from Statue of Liberty
13,Dist from Brooklyn Bridge
14,Dist from One World Trade Center Observatory
15,Dist from High Line
16,Dist from Staten Island Ferry
17,Dist from Times Square
18,Dist from Grand Central Terminal
19,Dist from Top of the Rock
20,Dist from Guggenheim Museum
21,Dist from New York Public Library
22,Dist from The Met Cloisters
23,Dist from Metropolitan Opera House
24,Dist from Tenement Museum
25,Dist from Brooklyn Heights
26,Dist from Coney Island
27,"Dist from Intrepid Sea, Air &amp; Space Museum"
28,Dist from Prospect Park
29,Dist from Battery Park
30,Dist from Whitney Museum of American Art
31,Dist from Flatiron Building
32,Dist from Union Square
33,Dist from Frick Collection
34,Dist from American Museum of Natural History
35,Dist from Washington Square Park
36,Dist from Madison Square Garden
37,Dist from St Patrickâ€™s Cathedral
38,Dist from SoHo
39,Dist from United Nations Headquarters
40,"Dist from Cooper-Hewitt, Smithsonian Design Museum"
41,Dist from Brooklyn Bridge Park
42,Dist from Morningside Heights
43,Dist from New York Botanical Garden
44,Dist from Chrysler Building
45,Dist from Yankee Stadium
46,Dist from Bronx Zoo
47,Dist from Chinatown
48,Dist from South Street Seaport
49,Dist from Smorgasburg
